PROCEDURE_CODE_1,PROCEDURE_CODE_2
5123, 
4501,3930
8872,3891
3893, 
66,3606
9671,9904
 , 
 , 
 , 
4311, 
4542, 
 , 
9672,9925
 , 
3722,8856
 , 
 , 
 , 
3995,3995
 , 
3893, 
 , 
9961, 
 , 
 , 
6561, 
8154,9902
9394,9390
 , 
 , 
5188,5185
3722,8856
7737,7847
 , 
 , 
3995, 
 , 
4523,9904
 , 
8151,39
 , 
 , 
7936, 
 , 
9921,9929
 , 
9671,9604
 , 
 , 
 , 
 , 
8841,8844
 , 
 , 
3723,8856
4516,4525
7051,5979
 , 
4921, 
66,3607
9904,4513
 , 
 , 
 , 
3995, 
 , 
 , 
 , 
3893, 
 , 
3229, 
 , 
 , 
9604,9671
9339,9383
 , 
3975,9672
3950,42
 , 
 , 
 , 
3995, 
8543, 
8151,76
8154, 
3893, 
8604, 
 , 
4610,8669
 , 
 , 
9915, 
 , 
8622, 
66,3607
3998,4823
5794,8108
 , 
5123,5349
9904,5498
9910, 
 , 
8872,3893
9390,3893
 , 
 , 
3772,3783
 , 
8166, 
9905, 
 , 
 , 
 , 
4513,9960
9671, 
 , 
9904,3893
 , 
 , 
 , 
4543,4542
7935, 
387, 
8107,8051
 , 
 , 
 , 
3893, 
9301,9383
 , 
 , 
3995, 
 , 
 , 
8954,8801
9396,9394
3995, 
9390, 
 , 
 , 
 , 
4513,4523
 , 
4516,4513
9904, 
8051, 
 , 
5749, 
4516,9904
3995,9904
3949,8848
9672,966
4523,9952
 , 
8165,8723
7932,8872
3783,3772
4673,5459
4311,9915
 , 
 , 
4516,9905
4562,5459
 , 
 , 
9915,4523
3409,9671
 , 
9921,9904
4945,4921
2911, 
 , 
331,9907
3929,8622
3491, 
 , 
3491,8914
 , 
 , 
 , 
9904,8872
 , 
8154,8046
 , 
 , 
 , 
8941, 
9604,9671
9215, 
 , 
8543, 
8944,9205
 , 
 , 
 , 
 , 
5123, 
8154, 
 , 
 , 
 , 
4562,3761
8872, 
 , 
6561,6849
 , 
 , 
 , 
3404,3491
3893,5794
8108,8051
387, 
9962, 
4685,5101
 , 
9955, 
4525,4824
66,3607
 , 
 , 
 , 
651,695
370,3491
 , 
9672,9604
9462, 
3995, 
 , 
5794,8965
9604,9671
8672,8339
3721,8872
 , 
 , 
3995, 
 , 
 , 
 , 
 , 
3891, 
9904,4516
3995, 
7915, 
4516,4523
4543, 
82,83
 , 
5491, 
4516,9904
 , 
8154,481
8151,8388
8945, 
 , 
4516, 
8154,8154
8154, 
3927,3995
61,63
 , 
4525,4542
 , 
 , 
3722,8856
3893,586
9904, 
 , 
8103,7779
 , 
4516,8604
 , 
5749, 
4701, 
 , 
 , 
 , 
7855, 
8151, 
 , 
 , 
4543,4542
8952, 
 , 
 , 
4443,4516
 , 
 , 
8197, 
331,4311
66,3607
 , 
 , 
8154, 
 , 
8872, 
8741, 
 , 
 , 
8154,481
 , 
 , 
3950,3722
5369, 
9904, 
8872, 
3533,3612
 , 
 , 
4131,3893
8411, 
4516,9909
 , 
 , 
 , 
 , 
8897, 
 , 
3897, 
8154, 
8151, 
3794, 
5491, 
 , 
4516,4523
8188, 
560,570
 , 
1733,4594
3971,3893
